ID,Party,Date,VehicleNo,Volume,Rate,Product,Amount
227,GCC,2023-08-03,KA19HA3634,4.45,101.06,Petrol,449.72
228,SML,2023-08-03,KA01AH0744,300,87.07,Diesel,26121
229,PAVITRA,2023-08-03,NL01Q5265,260,87.07,Diesel,22638.2
230,PAVITRA,2023-08-03,MH43BG7160,250,87.07,Diesel,21767.5
231,Ankur,2023-08-04,KA01AE5969,270,87.07,Diesel,23508.9
232,SMP Transport,2023-08-04,KA01AD2296,305,87.07,Diesel,26556.35
233,PONNI,2023-08-04,KA01AC8137,287,87.07,Diesel,24989.09
234,GCC,2023-08-04,KA19HA3635,8,101.06,Petrol,808.48
235,E.M Logistics,2023-08-04,KA01AG6883,340,87.07,Diesel,29603.8
236,BAWA,2023-08-07,KA19AD3925,50,87.07,Diesel,4353.5
237,SML,2023-08-05,KA01AH3353,270,87.07,Diesel,23508.9
238,SML,2023-08-06,KA01AH0745,380,87.07,Diesel,33086.6
239,SML,2023-08-06,KA01AE4419,240,87.07,Diesel,20896.8
240,SML,2023-08-06,TN28BA9727,350,87.07,Diesel,30474.5
241,SML,2023-08-07,MP09HG4625,250,87.07,Diesel,21767.5
242,PAVITRA,2023-08-05,KA01AG2055,250,87.07,Diesel,21767.5
243,PAVITRA,2023-08-05,KA01AG6055,260,87.07,Diesel,22638.2
244,PAVITRA,2023-08-05,KA01AE4516,260,87.07,Diesel,22638.2
245,PAVITRA,2023-08-06,MH43BG7160,250,87.07,Diesel,21767.5
246,PAVITRA,2023-08-07,KA21A3448,270,87.07,Diesel,23508.9
247,Baby Transport,2023-08-05,KA01AG5028,320,87.07,Diesel,27862.4
